text,Number of tags,type,tag_one,tag_two,tag_three,tag_four,tag_five,tag_six,tag_seven,tag_eight,tag_nine,tag_ten,tag_eleven,tag_twelve
A lot of y'all still sounding like last year. The game needs change and I'm the motherfuckin' cashier. ,4,self,brag,grind,thug,,,,,,,,,
Ahead of my time like I lived my whole life backwards. ,3,self,brag,grind,,,,,,,,,,
An elephant never forgets; So my dick remembers everything. ,2,self,brag,,,,,,,,,,,
But Ive been talkin' to God for so long that if you look at my life; I guess he talkin' back. ,4,self,brag,grind,thug,,,,,,,,,
Chasing that paper like it stole something of mine. ,2,self,grind,,,,,,,,,,,
Climb the ladder to success... escalator style. ,2,group,party,,,,,,,,,,,
Cuz I'm a dreamer and sleep is the cousin of death. Really stuck in the scheme of wondering when Ima rest. ,3,self,grind,money,,,,,,,,,,
Either love me; or leave me alone. ,2,self,contemplative,,,,,,,,,,,
Everybody look at you strange; say you changed. Like you work that hard to stay the same. ,2,self,grind,,,,,,,,,,,
Fuck around; you'll find my silk boxers in your mother's hamper. ,2,self,thug,,,,,,,,,,,
Fuck fake friends. We don't take L's; We Just make M's. While yall follow; we just make trends. ,2,self,brag,,,,,,,,,,,
Got your girl on my line; world on my line. The irony; I fuck 'em at the same damn time. ,3,self,grind,brag,,,,,,,,,,
Greet me with a middle finger when you see me. It's cool; 'cause I can't see yo' ass from this side of the TV. ,2,self,brag,,,,,,,,,,,
Halucinatin' visions of Utopia. Until I figure out that the perfect world a lonely one. ,3,self,contemplative,sad,,,,,,,,,,
Hope isn't home; Fate's not around. The luck's all gone. ,3,self,contemplative,sad,,,,,,,,,,
How could I make sense when I got millions on my mind? ,1,self,contemplative,grind,,,,,,,,,,
I been fly so long; I fell asleep on the fuckin' plane. ,1,self,brag,thug,,,,,,,,,,
I believe there's a god above me; I'm just the god of everything else. ,3,self,brag,thug,,,,,,,,,,
I can't see you. You're air to me. ,0,self,contemplative,,,,,,,,,,,
I have worked all winter; I will not fail summer. ,4,self,group,sad,grind,,,,,,,,,
I heard you're doing you; and you heard I'm doing better. ,3,self,thug,brag,,,,,,,,,,
I see ya boys hatin' and I see ya girls naked. ,3,self,thug,brag,,,,,,,,,,
I speak the truth; but I guess that's a foreign language to y'all. ,2,self,grind,,,,,,,,,,,
I work for everything I get; that is my motto fam. So when I die these bitches still can fuck my hologram. ,4,self,thug,grind,brag,,,,,,,,,
I'm early to the party but my 'Rari is the latest. ,1,self,brag,,,,,,,,,,,
I'm just a kid with a trouble making nature; looking for a way I can double up my paper. ,1,self,grind,contemplative,,,,,,,,,,
I'm just feeling like the throne is for the taking; watch me take it. ,2,self,group,,,,,,,,,,,
I'm just trying to protect my stacks. Mitt Romney don't pay no tax. ,3,self,group,party,,,,,,,,,,
I'm ok... but my watch sick. ,1,self,thug,,,,,,,,,,,
If I left this shit to chance; I woulda picked a name like Chance the Rapper. ,1,self,grind,,,,,,,,,,,
If I told you that a flower bloomed in a dark room; would you trust it? ,3,self,sad,contemplative,,,,,,,,,,
Im so far ahead of my time; Im bout to start another life. Look behind you; Im bout to pass you twice. ,5,self,group,grind,brag,thug,,,,,,,,
Ima live forever cuz a legend never die. ,3,self,gring,thug,,,,,,,,,,
It's been hell on this Earth since I fell on this Earth.,4,self,gring,thug,brag,,,,,,,,,
It's just me; myself and I and motherfuckers that I came with. ,1,group,thug,,,,,,,,,,,
Knew I would kill the game... premeditated murder. ,1,self,thug,,,,,,,,,,,
Knowin' someone you love don't feel the same way about cha; Memories they soon delete. ,3,self,sad,contemplative,,,,,,,,,,
Lately I've been drinkin' like there's a message in a bottle. ,4,self,contemplative,grind,party,,,,,,,,,
Like a sprained ankle; boy; I ain't nothin' to play with. ,4,self,grind,brag,thug,,,,,,,,,
Live tonight cuz you can't take it with ya. ,2,group,party,,,,,,,,,,,
Money is not the key to wealth. If it could stop the pain; How the fuck do you explain millionaires that kill themselves? ,2,self,group,,,,,,,,,,,
Most of yall aint real. Most of yall go squeal. Most of yall just envy but jealousy get you killed. ,2,self,brag,,,,,,,,,,,
Never short change; gotta get my money up. Stacks in the duffle 'till I can't get the zipper shut. ,4,self,grind,brag,thug,,,,,,,,,
No sittin at the table if you bringin nothin to it. ,4,group,grind,brag,thug,,,,,,,,,
Old chick callin' but I'm onto new thangs. She still a dime but I always lose change. ,4,self,grind,brag,thug,,,,,,,,,
Only got one life; better live while you got it. Cuz only one thing's for sure; Tomorrow is not promised. ,4,group,contemplative,brag,party,,,,,,,,,
People in my ear tellin me 'talk that shit'; Actions speak louder than words. I'd rather walk that shit. ,2,self,grind,,,,,,,,,,,
rollin deep in that paper like two Adeles. ,3,self,group,party,,,,,,,,,,
Same rope you climb up on; they'll hang you with. ,2,self,contemplative,,,,,,,,,,,
Screams from the haters; Got a nice ring to it. I guess every super hero needs his theme music,4,self,group,brag,thug,,,,,,,,,
So unafraid to die; You'd think I did it before. ,0,self,contemplative,,,,,,,,,,,
Some nights I wish I could go back in life. Not to change shit; just to feel a couple things twice. ,5,self,group,grind,brag,thug,,,,,,,,
Started not to give a fuck and stopped fearing the consequence. Drinkin' every night because we drink to my accomplishments. ,3,group,party,brag,,,,,,,,,,
Step to me and get the recipe to make you rest in peace,2,self,thug,,,,,,,,,,,
The best part about me is I am not you. ,2,self,brag,,,,,,,,,,,
The plan was to drink until the pain over. But what's worse; the pain or the hangover? ,3,self,contemplative,sad,,,,,,,,,,
The sky is falling; the wind is calling. Stand for something or die in the morning ,3,self,contemplative,sad,,,,,,,,,,
The time we spend in darkness when the rain come is where we often find the light soon as the pain's done. ,3,self,contemplative,sad,,,,,,,,,,
They aint make me what I am; they just found me like this. ,3,self,brag,grind,,,,,,,,,,
They always say the hottest love has the coldest end. ,4,self,contemplative,sad,love,,,,,,,,,
They're tryna get in my head and I'm just tryna get out. ,0,self,sad,contemplative,,,,,,,,,,
This really aint the time to be messin' with me; Cuz you aint know what I'm destined to be. ,3,self,contemplative,grind,,,,,,,,,,
To think on my level; they gotta buzz you up. ,2,self,brag,,,,,,,,,,,
Truth is; If it aint real I don't feel it. If it don't hit my spirit; I don't get near it. ,0,self,brag,,,,,,,,,,,
We all living for the same thing. Just to take it to the top and remain king. ,1,self,contemplate,grind,,,,,,,,,,
We are what we wear; We wear what we are. ,1,self,contemplate,,,,,,,,,,,
We just run through these clubs. It's like a PGA tour. ,2,group,party,,,,,,,,,,,
We scared of almost everything; afraid to even tell the truth. So scared of what u think of me; I'm scared of even tellin u. ,3,self,sad,contemplative,,,,,,,,,,
Went broke and I came up in the same year. ,3,self,grind,brag,,,,,,,,,,
When it turns real; that's when everyone turns fake. ,3,self,contemplative,sad,,,,,,,,,,
Yes I'm the shit; tell me do it stink? It feel good wakin' up to money in the bank. ,2,self,brag,,,,,,,,,,,
You could have the world in the palm of your hand but it don't mean a thing until you change it. ,2,self,contemplative,,,,,,,,,,,
You know its real when your latest nights are your greatest nights. The sun is up when you get home; that's just a way of life. ,2,group,party,,,,,,,,,,,
9 to 5 is how you survive; i'm not trying to survive im trying to live it to the limit and love it alive ,2,self,grind,,,,,,,,,,,
A wise man told me don't argue with fools cause people from a distance can't tell who is who ,2,self,contemplative,,,,,,,,,,,
